State,District
Uttarakhand,Nainital
Uttarakhand,Dehradun
Uttarakhand,Almora
Uttarakhand,Champawat
Uttarakhand,Uttarkashi
Uttarakhand,Garhwal
Uttarakhand,Haridwar
Uttarakhand,Rudraprayag
Uttarakhand,Tehri Garhwal
Uttarakhand,Bageshwar
Uttarakhand,Pithoragarh
Uttarakhand,Chamoli
Uttarakhand,Udham Singh Nagar
Himachal Pradesh,Chamba
Himachal Pradesh,Shimla
Himachal Pradesh,Bilaspur
Himachal Pradesh,Kangra
Himachal Pradesh,Lahul & Spiti
Himachal Pradesh,Una
Himachal Pradesh,Solan
Himachal Pradesh,Sirmaur
Himachal Pradesh,Kinnaur
Himachal Pradesh,Mandi
Himachal Pradesh,Kullu
Himachal Pradesh,Hamirpur
Ladakh,No Jurisdiction
Jammu and Kashmir,Anantnag
Jammu and Kashmir,Baramulla
Jammu and Kashmir,Kulgam
Jammu and Kashmir,Shopian
Jammu and Kashmir,Reasi
Jammu and Kashmir,Rajouri
Jammu and Kashmir,Jammu
Ladakh,Leh
Jammu and Kashmir,Srinagar
Jammu and Kashmir,Poonch
Jammu and Kashmir,Kupwara
Jammu and Kashmir,Samba
Jammu and Kashmir,Bandipora
Jammu and Kashmir,Kathua
Ladakh,Kargil
Jammu and Kashmir,Kishtwar
Gujarat,Sabarkantha
Gujarat,Banaskantha
Gujarat,Surendranagar
Gujarat,Anand
Gujarat,Narmada
Gujarat,Amreli
Gujarat,Dahod
Jammu and Kashmir,Doda
Jammu and Kashmir,Pulwama
Gujarat,Vadodara
Gujarat,Aravali
Jammu and Kashmir,Ramban
Jammu and Kashmir,Ganderbal
Jammu and Kashmir,Udhampur
Jammu and Kashmir,Budgam
Diu and Daman,Daman
Diu and Daman,Diu
Gujarat,Bhavnagar
Gujarat,Ahmedabad
Gujarat,Chhota Udaipur
Gujarat,Botad
Gujarat,Rajkot
Gujarat,Kachchh
Gujarat,The Dangs
Gujarat,Mahesana
Gujarat,Patan
Gujarat,Bharuch
Gujarat,Gir Somnath
Gujarat,Junagadh
Gujarat,Devbhumi Dwarka
Gujarat,Navsari
Gujarat,Surat
Gujarat,Jamnagar
Gujarat,Tapi
Gujarat,Kheda
Madhya Pradesh,Betul
Madhya Pradesh,Hoshangabad
Madhya Pradesh,Sehore
Madhya Pradesh,Jabalpur
Madhya Pradesh,Narsinghpur
Madhya Pradesh,Panna
Madhya Pradesh,Ujjain
Madhya Pradesh,Rewa
Madhya Pradesh,Dindori
Madhya Pradesh,Balaghat
Madhya Pradesh,Barwani
Gujarat,Porbandar
Gujarat,Valsad
Gujarat,Gandhinagar
Gujarat,Mahisagar
Gujarat,Morbi
Gujarat,Panchmahal
Dadra & Nagar Haveli,Dadra & Nagar Haveli
Madhya Pradesh,Ashoknagar
Madhya Pradesh,Raisen
Madhya Pradesh,Chhindwara
Bihar,Patna
Madhya Pradesh,Satna
Madhya Pradesh,Chhatarpur
Madhya Pradesh,Indore
Madhya Pradesh,Ratlam
Madhya Pradesh,Harda
Madhya Pradesh,Sagar
Madhya Pradesh,Neemuch
Madhya Pradesh,Tikamgarh
Madhya Pradesh,Guna
Madhya Pradesh,Dewas
Madhya Pradesh,Mandsaur
Madhya Pradesh,Khargone
Madhya Pradesh,Sheopur
Madhya Pradesh,Morena
Madhya Pradesh,Bhind
Madhya Pradesh,Jhabua
Madhya Pradesh,Seoni
Madhya Pradesh,Khandwa
Madhya Pradesh,Umaria
Madhya Pradesh,Gwalior
Madhya Pradesh,Damoh
Madhya Pradesh,Dhar
Madhya Pradesh,Katni
Madhya Pradesh,Sidhi
Madhya Pradesh,Alirajpur
Madhya Pradesh,Singrauli
Madhya Pradesh,Bhopal
Madhya Pradesh,Rajgarh
Madhya Pradesh,Mandla
Madhya Pradesh,Shajapur
Madhya Pradesh,Shivpuri
Madhya Pradesh,Datia
Madhya Pradesh,Shahdol
Madhya Pradesh,Vidisha
Andhra Pradesh,Prakasham
Andhra Pradesh,Krishna
Madhya Pradesh,Burhanpur
Madhya Pradesh,Anuppur
Andhra Pradesh,East Godavari
Andhra Pradesh,Visakapatnam
Andhra Pradesh,Nellore
