State,state_code,District,district_code
Andaman and Nicobar,35~28,Port Blair,1
Andhra Pradesh,28~2,Ananthapur,2
Andhra Pradesh,28~2,Chittoor,3
Andhra Pradesh,28~2,East Godavari,4
Andhra Pradesh,28~2,Guntur,5
Andhra Pradesh,28~2,Kadapa,7
Andhra Pradesh,28~2,Krishna,11
Andhra Pradesh,28~2,Kurnool,10
Andhra Pradesh,28~2,Nellore,15
Andhra Pradesh,28~2,Prakasham,17
Andhra Pradesh,28~2,Srikakulam,19
Andhra Pradesh,28~2,Visakapatnam,20
Andhra Pradesh,28~2,Vizianagaram,21
Andhra Pradesh,28~2,West Godavari,23
Assam,18~6,Baksa,27
Assam,18~6,Barpeta,20
Assam,18~6,Bongaigaon,9
Assam,18~6,Cachar,13
Assam,18~6,Chirang,25
Assam,18~6,Darrang,8
Assam,18~6,Dhemaji,17
Assam,18~6,Dhubri,16
Assam,18~6,Dibrugarh,7
Assam,18~6,Dima Hasao,28
Assam,18~6,Goalpara,18
Assam,18~6,Golaghat,19
Assam,18~6,Hailakandi,21
Assam,18~6,Jorhat,11
Assam,18~6,Kamrup,23
Assam,18~6,Kamrup Metro,1
Assam,18~6,Karbi Anglong,26
Assam,18~6,Karimganj,12
Assam,18~6,Kokrajhar,22
Assam,18~6,Lakhimpur,5
Assam,18~6,Morigaon,4
Assam,18~6,Nagaon,10
Assam,18~6,Nalbari,15
Assam,18~6,Sivasagar,3
Assam,18~6,Sonitpur,6
Assam,18~6,Tinsukia,2
Assam,18~6,Udalguri,24
Bihar,10~8,Patna,1
Bihar,10~8,Kaimur,2
Bihar,10~8,Samastipur,3
Bihar,10~8,Saran,4
Bihar,10~8,Katihar,5
Bihar,10~8,Begusarai,6
Bihar,10~8,Banka,7
Bihar,10~8,Purnea,9
Bihar,10~8,Motihari,10
Bihar,10~8,Munger,11
Bihar,10~8,Madhepura,12
Bihar,10~8,Rohtas Sasaram,13
Bihar,10~8,Khagaria,14
Bihar,10~8,Jamui,15
Bihar,10~8,Aurangabad,16
Bihar,10~8,Darbhanga,17
Bihar,10~8,Madhubani,18
Bihar,10~8,Lakhisarai,19
Bihar,10~8,Sheikhpura,20
Bihar,10~8,Saharsa,21
Bihar,10~8,Supaul,22
Bihar,10~8,Gopalganj,23
Bihar,10~8,Araria,24
Bihar,10~8,Kishanganj,25
Bihar,10~8,Buxar,26
Bihar,10~8,Nawada,27
Bihar,10~8,Bettiah,28
Bihar,10~8,Siwan,29
Bihar,10~8,Nalanda,30
Bihar,10~8,Sitamarhi,31
Bihar,10~8,Bhojpur,33
Bihar,10~8,Bhagalpur,34
Bihar,10~8,Gaya,35
Bihar,10~8,Jehanabad,36
Bihar,10~8,Sheohar,37
Bihar,10~8,Muzaffarpur,38
Chandigarh,4~27,Chandigarh,1
Chhattisgarh,22~18,Korba,1
Chhattisgarh,22~18,Bilaspur,2
Chhattisgarh,22~18,Raipur,3
Chhattisgarh,22~18,Surguja,4
Chhattisgarh,22~18,Dhamtari,5
Chhattisgarh,22~18,Raigarh,6
Chhattisgarh,22~18,Durg,7
Chhattisgarh,22~18,Kabirdham,9
Chhattisgarh,22~18,Rajnandgaon,10
Chhattisgarh,22~18,Koriya,11
Chhattisgarh,22~18,Mahasamund,12
Chhattisgarh,22~18,Kanker,13
Chhattisgarh,22~18,Bastar,15
Chhattisgarh,22~18,Jashpur,16
Chhattisgarh,22~18,Dantewada,17
Chhattisgarh,22~18,Janjgir,18
Chhattisgarh,22~18,Balod,19
Chhattisgarh,22~18,Bemetara,20
Chhattisgarh,22~18,Surajpur,21
Chhattisgarh,22~18,Kondagaon,22
Chhattisgarh,22~18,Balodabazar,23
Chhattisgarh,22~18,Mungeli,24
Chhattisgarh,22~18,Balrampur,25
Delhi,7~26,North East,1
Delhi,7~26,Shahdara,2
Delhi,7~26,East,3
Delhi,7~26,North,4
Delhi,7~26,North West,5
Delhi,7~26,South West,6
Delhi,7~26,New Delhi,7
Delhi,7~26,Central,8
Delhi,7~26,West,9
Delhi,7~26,South,10
Delhi,7~26,South East,11
Diu and Daman,25~31,Diu,1
Diu and Daman,25~31,Daman,2
DNH at Silvasa,26~32,Silvasa,1
Goa,30~30,North Goa,1
Goa,30~30,South Goa,2
Gujarat,24~17,Gandhinagar,11
Gujarat,24~17,Ahmedabad,13
Gujarat,24~17,Surat,14
Gujarat,24~17,Mahesana,15
Gujarat,24~17,Rajkot,16
Gujarat,24~17,Amreli,17
Gujarat,24~17,Anand,18
Gujarat,24~17,Banaskantha,19
Gujarat,24~17,Bharuch,20
Gujarat,24~17,Bhavnagar,21
Gujarat,24~17,Dahod,22
Gujarat,24~17,Jamnagar,23
Gujarat,24~17,Junagadh,24
Gujarat,24~17,Kheda,25
Gujarat,24~17,Kachchh,26
Gujarat,24~17,Panchmahal,27
Gujarat,24~17,Patan,28
Gujarat,24~17,Sabarkantha,29
Gujarat,24~17,Surendranagar,30
Gujarat,24~17,Vadodara,31
Gujarat,24~17,Navsari,32
Gujarat,24~17,Narmada,33
Gujarat,24~17,Tapi,34
Gujarat,24~17,Valsad,35
Gujarat,24~17,Porbandar,36
Gujarat,24~17,Gir Somnath,37
Gujarat,24~17,Aravali,38
Gujarat,24~17,Morbi,39
Gujarat,24~17,Devbhumi Dwarka,40
Gujarat,24~17,Chhota Udaipur,41
Gujarat,24~17,Mahisagar,42
Gujarat,24~17,Botad,43
Haryana,6~14,Karnal,1
Haryana,6~14,Sirsa,2
Haryana,6~14,Ambala,3
Haryana,6~14,Bhiwani,4
Haryana,6~14,Faridabad,5
Haryana,6~14,Gurugram,6
Haryana,6~14,Hisar,7
Haryana,6~14,Jhajjar,8
Haryana,6~14,Jind,9
Haryana,6~14,Kurukshetra,10
Haryana,6~14,Mahendragarh,11
Haryana,6~14,Rohtak,12
Haryana,6~14,Sonepat,13
Haryana,6~14,Panchkula,14
Haryana,6~14,Fatehabad,15
Haryana,6~14,Kaithal,16
Haryana,6~14,Rewari,17
Haryana,6~14,Panipat,18
Haryana,6~14,Nuh,19
Haryana,6~14,Yamunanagar,20
Haryana,6~14,Palwal,23
Himachal Pradesh,2~5,Hamirpur,1
Himachal Pradesh,2~5,Kangra,2
Himachal Pradesh,2~5,Sirmaur,3
Himachal Pradesh,2~5,Una,4
Himachal Pradesh,2~5,Solan,5
Himachal Pradesh,2~5,Mandi,6
Himachal Pradesh,2~5,Bilaspur,7
Himachal Pradesh,2~5,Chamba,8
Himachal Pradesh,2~5,Kinnaur,9
Himachal Pradesh,2~5,Kullu,10
Himachal Pradesh,2~5,Shimla,11
Jammu and Kashmir,1~12,Kathua,1
