State,District,0 to 1 Years_Civil,0 to 1 Years_Criminal,0 to 1 Years_Total,1 to 3 Years_Civil,1 to 3 Years_Criminal,1 to 3 Years_Total,3 to 5 Years_Civil,3 to 5 Years_Criminal,3 to 5 Years_Total,5 to 10 Years_Civil,5 to 10 Years_Criminal,5 to 10 Years_Total,10 to 20 Years_Civil,10 to 20 Years_Criminal,10 to 20 Years_Total,20 to 30 Years_Civil,20 to 30 Years_Criminal,20 to 30 Years_Total,Above 30 Years_Civil,Above 30 Years_Criminal,Above 30 Years_Total,Total_Civil,Total_Criminal,Total_Total,Original_Civil,Original_Criminal,Original_Total,Appeal_Civil,Appeal_Criminal,Appeal_Total,Application_Civil,Application_Criminal,Application_Total,Execution_Civil,Execution_Criminal,Execution_Total,Appearance/Service Related_Civil,Appearance/Service Related_Criminal,Appearance/Service Related_Total,Compliance/Steps/stay_Civil,Compliance/Steps/stay_Criminal,Compliance/Steps/stay_Total,Evidence/Argument/Judgement_Civil,Evidence/Argument/Judgement_Criminal,Evidence/Argument/Judgement_Total,Pleadings/Issues/Charge_Civil,Pleadings/Issues/Charge_Criminal,Pleadings/Issues/Charge_Total,Cases Instituted in Last Month_Civil,Cases Instituted in Last Month_Criminal,Cases Instituted in Last Month_Total,Cases Disposed in Last Month_Civil,Cases Disposed in Last Month_Criminal,Cases Disposed in Last Month_Total,Filed Cases By Senior Citizen_Civil,Filed Cases By Senior Citizen_Criminal,Filed Cases By Senior Citizen_Total,Filed Cases By Woman_Civil,Filed Cases By Woman_Criminal,Filed Cases By Woman_Total,Delay Reason_Civil,Delay Reason_Criminal,Delay Reason_Total
Telangana,Adilabad,2869,7419,10288,3624,8390,12014,1661,4265,5926,826,1427,2253,43,98,141,1,28,29,0,1,1,9024,21628,30652,7043,20534,27577,504,191,695,0,903,903,1477,0,1477,1846,12121,13967,1738,847,2585,3135,7810,10945,2197,789,2986,335,846,1181,157,581,738,1199,190,1389,1787,813,2600,1835,2607,4442
Uttar Pradesh,Agra,7077,32001,39078,11950,69633,81583,5484,35223,40707,4522,41822,46344,2188,17033,19221,558,2336,2894,627,394,1021,32406,198442,230848,22724,168670,191394,2043,966,3009,3628,28802,32430,4011,4,4015,2033,107429,109462,2265,5278,7543,21544,58509,80053,6455,26965,33420,945,9709,10654,847,6879,7726,3248,2564,5812,4745,16552,21297,421,348,769
Gujarat,Ahmedabad,14969,116964,131933,27221,165946,193167,14308,58673,72981,23164,46731,69895,12699,34867,47566,1908,14978,16886,188,1541,1729,94457,439700,534157,77549,418248,495797,1989,1615,3604,5538,20657,26195,9400,0,9400,31442,381792,413234,2790,1831,4621,48537,47894,96431,8391,6575,14966,1544,15668,17212,651,2400,3051,9117,5205,14322,7264,11310,18574,40,45,85
Maharashtra,Ahmednagar,13836,32189,46025,23611,41765,65376,14300,21050,35350,16748,15015,31763,3040,2800,5840,384,560,944,78,169,247,71997,113548,185545,42461,95696,138157,4842,2217,7059,3276,15635,18911,21418,0,21418,26514,55501,82015,20124,17578,37702,21192,26171,47363,4143,14293,18436,2019,4651,6670,1123,1749,2872,15049,4311,19360,10795,10399,21194,36446,42720,79166
Mizoram,Aizawl,461,1043,1504,631,1283,1914,241,374,615,150,128,278,25,4,29,1,0,1,0,0,0,1509,2832,4341,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,29,93,122,22,87,109,99,6,105,290,84,374,4,14,18
Rajasthan,Ajmer,6780,11611,18391,9523,23876,33399,5786,12734,18520,6447,9484,15931,1447,1268,2715,89,30,119,20,3,23,30092,59006,89098,17881,51682,69563,1925,2802,4727,4607,4522,9129,5679,0,5679,8071,15702,23773,9587,15011,24598,10230,23553,33783,1954,4702,6656,1014,3855,4869,494,1940,2434,4263,1386,5649,4487,2973,7460,18210,33105,51315
Maharashtra,Akola,4722,19608,24330,6297,25217,31514,3657,14703,18360,3931,9140,13071,1125,1761,2886,94,673,767,51,231,282,19877,71333,91210,8178,61622,69800,943,915,1858,3594,8797,12391,7162,0,7162,6558,45531,52089,5538,9713,15251,6914,10187,17101,864,5897,6761,1096,2077,3173,718,1185,1903,4119,1930,6049,3650,3723,7373,1485,3639,5124
Kerala,Alappuzha,12655,37803,50458,16460,22083,38543,5656,8979,14635,2125,2510,4635,314,49,363,33,0,33,5,0,5,37248,71424,108672,27815,70193,98008,1109,361,1470,1209,871,2080,7115,0,7115,13391,53377,66768,12307,4153,16460,4015,6190,10205,3567,2273,5840,937,3596,4533,992,3893,4885,7490,752,8242,8902,2367,11269,314,647,961
Uttar Pradesh,Aligarh,4951,23880,28831,8775,40656,49431,4810,21576,26386,3971,39589,43560,1553,8327,9880,396,1445,1841,433,269,702,24889,135742,160631,21227,112531,133758,1261,1277,2538,82,21935,22017,2321,0,2321,14413,88127,102540,653,6139,6792,7573,37910,45483,1997,449,2446,538,3229,3767,278,1973,2251,4150,2511,6661,4683,16813,21496,943,1767,2710
Madhya Pradesh,Alirajpur,428,1679,2107,548,2539,3087,192,655,847,16,73,89,1,0,1,0,0,0,0,0,0,1185,4946,6131,899,4692,5591,34,20,54,0,234,234,252,0,252,0,0,0,98,46,144,354,3483,3837,733,1413,2146,98,609,707,31,572,603,147,29,176,196,110,306,427,1792,2219
