State,0 to 1 Years_Civil,0 to 1 Years_Criminal,0 to 1 Years_Total,1 to 3 Years_Civil,1 to 3 Years_Criminal,1 to 3 Years_Total,3 to 5 Years_Civil,3 to 5 Years_Criminal,3 to 5 Years_Total,5 to 10 Years_Civil,5 to 10 Years_Criminal,5 to 10 Years_Total,10 to 20 Years_Civil,10 to 20 Years_Criminal,10 to 20 Years_Total,20 to 30 Years_Civil,20 to 30 Years_Criminal,20 to 30 Years_Total,Above 30 Years_Civil,Above 30 Years_Criminal,Above 30 Years_Total,Total_Civil,Total_Criminal,Total_Total,Original_Civil,Original_Criminal,Original_Total,Appeal_Civil,Appeal_Criminal,Appeal_Total,Application_Civil,Application_Criminal,Application_Total,Execution_Civil,Execution_Criminal,Execution_Total,Appearance/Service Related_Civil,Appearance/Service Related_Criminal,Appearance/Service Related_Total,Compliance/Steps/stay_Civil,Compliance/Steps/stay_Criminal,Compliance/Steps/stay_Total,Evidence/Argument/Judgement_Civil,Evidence/Argument/Judgement_Criminal,Evidence/Argument/Judgement_Total,Pleadings/Issues/Charge_Civil,Pleadings/Issues/Charge_Criminal,Pleadings/Issues/Charge_Total,Cases Instituted in Last Month_Civil,Cases Instituted in Last Month_Criminal,Cases Instituted in Last Month_Total,Cases Disposed in Last Month_Civil,Cases Disposed in Last Month_Criminal,Cases Disposed in Last Month_Total,Filed Cases By Senior Citizen_Civil,Filed Cases By Senior Citizen_Criminal,Filed Cases By Senior Citizen_Total,Filed Cases By Woman_Civil,Filed Cases By Woman_Criminal,Filed Cases By Woman_Total,Delay Reason_Civil,Delay Reason_Criminal,Delay Reason_Total
Andaman and Nicobar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,94665,89473,184138,152420,139819,292239,66106,49490,115596,39985,15733,55718,5332,1071,6403,204,130,334,22,30,52,358734,295746,654480,262201,271676,533877,23958,12330,36288,1188,11147,12335,71320,0,71320,94817,160564,255381,71004,24281,95285,125357,100202,225559,56951,5343,62294,10010,14004,24014,4651,8938,13589,59437,8668,68105,74019,19282,93301,9373,3893,13266
Assam,22578,82122,104700,31856,124262,156118,13615,45198,58813,9147,33711,42858,1190,3228,4418,111,182,293,23,9,32,78520,288712,367232,58372,264205,322577,2641,3818,6459,9385,20315,29700,7227,0,7227,21183,141383,162566,12091,24789,36880,37843,102969,140812,6578,5615,12193,3693,10892,14585,4768,5493,10261,9569,3110,12679,18603,27212,45815,3739,19539,23278
Bihar,56339,395304,451643,133066,773536,906602,80501,492992,573493,103422,649023,752445,47437,391702,439139,12819,56171,68990,4672,6964,11636,438256,2765692,3203948,355409,2622073,2977482,23308,25341,48649,30842,31857,62699,25722,3,25725,143291,1013546,1156837,70636,248979,319615,173229,837976,1011205,17257,546034,563291,7784,50520,58304,2576,32218,34794,79084,122563,201647,84544,273418,357962,62164,257155,319319
Chandigarh,6328,13617,19945,11039,20553,31592,3405,3293,6698,829,791,1620,54,58,112,4,6,10,0,0,0,21659,38318,59977,14979,32399,47378,1782,1812,3594,875,4107,4982,4023,0,4023,10153,23186,33339,2017,614,2631,9101,13582,22683,281,857,1138,811,2085,2896,379,544,923,3255,1121,4376,3960,2738,6698,7054,9081,16135
Chhattisgarh,16115,81317,97432,29602,122976,152578,11995,51618,63613,5149,20360,25509,487,587,1074,102,55,157,22,4,26,63472,276917,340389,45850,255755,301605,4207,6038,10245,21,15082,15103,13391,0,13391,23084,66924,90008,6132,8501,14633,24361,128674,153035,8196,70588,78784,4091,18485,22576,1332,11143,12475,10025,3493,13518,13334,13717,27051,23838,98006,121844
Delhi,65511,187974,253485,91894,364053,455947,41004,142918,183922,23093,64284,87377,2391,6834,9225,204,223,427,34,7,41,224131,766293,990424,180185,733295,913480,4874,7689,12563,2174,13928,16102,36678,9890,46568,15588,502095,517683,63558,36058,99616,136153,192634,328787,8305,34605,42910,11336,32187,43523,6413,12122,18535,22884,13060,35944,26362,42133,68495,71446,223651,295097
Diu and Daman,371,477,848,444,598,1042,313,221,534,216,119,335,34,47,81,0,10,10,0,0,0,1378,1472,2850,390,253,643,11,30,41,1,52,53,14,3,17,118,177,295,344,280,624,651,598,1249,39,101,140,40,125,165,29,85,114,296,57,353,172,83,255,270,179,449
DNH at Silvasa,294,590,884,451,785,1236,193,264,457,506,168,674,35,63,98,0,2,2,0,0,0,1479,1872,3351,1301,1679,2980,19,22,41,42,171,213,117,0,117,242,626,868,373,395,768,812,719,1531,52,132,184,26,140,166,151,145,296,183,38,221,125,71,196,939,850,1789
Goa,4982,10468,15450,7983,15285,23268,4421,4922,9343,4609,2500,7109,1459,185,1644,554,5,559,196,1,197,24204,33366,57570,16330,29436,45766,1073,640,1713,3148,3290,6438,3655,0,3655,5436,17614,23050,8975,4794,13769,8133,9489,17622,1495,1175,2670,430,443,873,46,48,94,6334,762,7096,5024,1585,6609,7204,5498,12702
