State,District,0 to 1 Years_Civil,0 to 1 Years_Criminal,0 to 1 Years_Total,1 to 3 Years_Civil,1 to 3 Years_Criminal,1 to 3 Years_Total,3 to 5 Years_Civil,3 to 5 Years_Criminal,3 to 5 Years_Total,5 to 10 Years_Civil,5 to 10 Years_Criminal,5 to 10 Years_Total,10 to 20 Years_Civil,10 to 20 Years_Criminal,10 to 20 Years_Total,20 to 30 Years_Civil,20 to 30 Years_Criminal,20 to 30 Years_Total,Above 30 Years_Civil,Above 30 Years_Criminal,Above 30 Years_Total,Total_Civil,Total_Criminal,Total_Total,Original_Civil,Original_Criminal,Original_Total,Appeal_Civil,Appeal_Criminal,Appeal_Total,Application_Civil,Application_Criminal,Application_Total,Execution_Civil,Execution_Criminal,Execution_Total,Appearance/Service Related_Civil,Appearance/Service Related_Criminal,Appearance/Service Related_Total,Compliance/Steps/stay_Civil,Compliance/Steps/stay_Criminal,Compliance/Steps/stay_Total,Evidence/Argument/Judgement_Civil,Evidence/Argument/Judgement_Criminal,Evidence/Argument/Judgement_Total,Pleadings/Issues/Charge_Civil,Pleadings/Issues/Charge_Criminal,Pleadings/Issues/Charge_Total,Cases Instituted in Last Month_Civil,Cases Instituted in Last Month_Criminal,Cases Instituted in Last Month_Total,Cases Disposed in Last Month_Civil,Cases Disposed in Last Month_Criminal,Cases Disposed in Last Month_Total,Filed Cases By Senior Citizen_Civil,Filed Cases By Senior Citizen_Criminal,Filed Cases By Senior Citizen_Total,Filed Cases By Woman_Civil,Filed Cases By Woman_Criminal,Filed Cases By Woman_Total,Delay Reason_Civil,Delay Reason_Criminal,Delay Reason_Total
Telangana,Adilabad,2759,7353,10112,3652,8438,12090,1675,4289,5964,827,1445,2272,43,98,141,1,28,29,0,1,1,8957,21652,30609,6978,20516,27494,503,234,737,0,902,902,1476,0,1476,1895,12366,14261,1664,844,2508,3108,7632,10740,2178,748,2926,326,830,1156,157,580,737,1176,185,1361,1797,813,2610,1787,2599,4386
Uttar Pradesh,Agra,6757,30895,37652,12131,69844,81975,5540,35260,40800,4538,41841,46379,2189,17031,19220,560,2337,2897,636,398,1034,32351,197606,229957,22603,167882,190485,2060,1015,3075,3675,28705,32380,4013,4,4017,2059,106763,108822,2280,5278,7558,21461,57998,79459,6445,27290,33735,942,9708,10650,848,6868,7716,3224,2544,5768,4719,16538,21257,429,350,779
Gujarat,Ahmedabad,14214,110152,124366,26715,166103,192818,14170,58705,72875,23002,46760,69762,12711,34851,47562,1911,14965,16876,188,1542,1730,92911,433078,525989,76500,411873,488373,1988,1620,3608,5491,20348,25839,8951,0,8951,31080,375188,406268,2745,1828,4573,48104,47847,95951,8379,6544,14923,1496,14197,15693,629,2323,2952,9023,5119,14142,7175,11162,18337,38,45,83
Maharashtra,Ahmednagar,13286,31009,44295,23733,41980,65713,14351,21182,35533,16840,15075,31915,3053,2817,5870,386,561,947,78,169,247,71727,112793,184520,42232,94920,137152,4857,2249,7106,3253,15624,18877,21385,0,21385,26483,54285,80768,19939,17765,37704,21090,26469,47559,4099,14269,18368,2016,4651,6667,1123,1749,2872,14999,4308,19307,10782,10370,21152,1975,1746,3721
Mizoram,Aizawl,448,1042,1490,643,1297,1940,241,378,619,153,129,282,26,3,29,1,0,1,0,0,0,1512,2849,4361,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,22,79,101,20,77,97,100,7,107,294,83,377,4,14,18
Rajasthan,Ajmer,6577,10844,17421,9590,23958,33548,5829,12787,18616,6492,9533,16025,1464,1281,2745,89,31,120,20,3,23,30061,58437,88498,17851,51124,68975,1928,2813,4741,4631,4500,9131,5651,0,5651,8104,15303,23407,9544,15014,24558,10202,23389,33591,1961,4693,6654,1009,3857,4866,493,1940,2433,4248,1369,5617,4500,2959,7459,18274,33039,51313
Maharashtra,Akola,4639,19267,23906,6345,25350,31695,3670,14770,18440,3950,9203,13153,1133,1762,2895,94,673,767,51,231,282,19882,71256,91138,8149,61459,69608,936,909,1845,3624,8889,12513,7173,0,7173,6730,45313,52043,5432,9649,15081,6879,10209,17088,838,6077,6915,906,1920,2826,552,1128,1680,4114,1930,6044,3634,3719,7353,1459,3040,4499
Kerala,Alappuzha,12385,37652,50037,16647,22241,38888,5746,9052,14798,2152,2577,4729,314,46,360,33,0,33,4,0,4,37281,71568,108849,27804,70341,98145,1134,366,1500,1196,861,2057,7147,0,7147,13688,53926,67614,12018,4052,16070,3953,6268,10221,3495,2288,5783,877,3311,4188,996,3710,4706,7482,758,8240,8915,2370,11285,317,511,828
Uttar Pradesh,Aligarh,4780,23554,28334,8829,40816,49645,4835,21622,26457,3991,39615,43606,1556,8327,9883,401,1455,1856,438,272,710,24830,135661,160491,21126,112295,133421,1279,1284,2563,82,22083,22165,2345,0,2345,14374,85129,99503,654,6089,6743,7574,37812,45386,1976,445,2421,537,3054,3591,278,1782,2060,4133,2522,6655,4658,16847,21505,512,570,1082
Madhya Pradesh,Alirajpur,405,1630,2035,550,2548,3098,193,657,850,18,75,93,1,0,1,0,0,0,0,0,0,1167,4910,6077,884,4663,5547,30,19,49,0,228,228,253,0,253,0,0,0,97,49,146,351,3295,3646,719,1565,2284,98,609,707,31,574,605,149,28,177,194,110,304,429,1791,2220
