State,District,Population (Total),Population (M),Population (F)
Telangana,Adilabad,708972,356407,352565
Uttar Pradesh,Agra,4418797,2364953,2053844
Gujarat,Ahmedabad,7214225,3788051,3426174
Maharashtra,Ahmednagar,4543159,2342825,2200334
Mizoram,Aizawl,400309,199270,201039
Rajasthan,Ajmer,2583052,1324085,1258967
Maharashtra,Akola,1813906,932334,881572
Kerala,Alappuzha,2127789,1013142,1114647
Uttar Pradesh,Aligarh,3673889,1951996,1721893
Madhya Pradesh,Alirajpur,728999,362542,366457
Uttar Pradesh,Allahabad,5954391,3131807,2822584
Uttarakhand,Almora,622506,291081,331425
Rajasthan,Alwar,3674179,1939026,1735153
Haryana,Ambala,1128350,598703,529647
Uttar Pradesh,Ambedkar Nagar,2397888,1212410,1185478
Uttar Pradesh,Amethi,0,0,0
Maharashtra,Amravati,2888445,1480768,1407677
Gujarat,Amreli,1514190,771049,743141
Punjab,Amritsar,2490656,1318408,1172248
Gujarat,Anand,2092745,1087224,1005521
Andhra Pradesh,Ananthapur,4081148,2064495,2016653
Jammu and Kashmir,Anantnag,1078692,559767,518925
Arunachal Pradesh,Anjaw,21167,11507,9660
Orissa,Anugul,1273821,655718,618103
Madhya Pradesh,Anuppur,749237,379114,370123
Bihar,Araria,2811569,1463333,1348236
Gujarat,Aravali,0,0,0
Tamil Nadu,Ariyalur,754894,374703,380191
Bihar,Arwal,700843,363497,337346
Madhya Pradesh,Ashoknagar,845071,443837,401234
Uttar Pradesh,Auraiya,1379545,740040,639505
Bihar,Aurangabad,2540073,1318684,1221389
Maharashtra,Aurangabad,3701282,1924469,1776813
Uttar Pradesh,Azamgarh,4613913,2285004,2328909
Karnataka,Bagalkot,1889752,950111,939641
Uttarakhand,Bageshwar,259898,124326,135572
Uttar Pradesh,Baghpat,1303048,700070,602978
Uttar Pradesh,Bahraich,3487731,1843884,1643847
Assam,Baksa,950075,481330,468745
Madhya Pradesh,Balaghat,1701698,842178,859520
Orissa,Balangir,1648997,830097,818900
Orissa,Balasore,2320529,1185787,1134742
Karnataka,Ballari,2452595,1236954,1215641
Uttar Pradesh,Ballia,3239774,1672902,1566872
Chhattisgarh,Balod,0,0,0
Chhattisgarh,Balodabazar,0,0,0
Chhattisgarh,Balrampur,0,0,0
Uttar Pradesh,Balrampur,2148665,1114721,1033944
Gujarat,Banaskantha,3120506,1610379,1510127
Uttar Pradesh,Banda,1799410,965876,833534
Jammu and Kashmir,Bandipora,392232,207680,184552
Bihar,Banka,2034763,1067140,967623
West Bengal,Bankura,3596674,1838095,1758579
Rajasthan,Banswara,1797485,907754,889731
Uttar Pradesh,Barabanki,3260699,1707073,1553626
Jammu and Kashmir,Baramulla,1008039,534733,473306
Rajasthan,Baran,1222755,633945,588810
West Bengal,Barddhaman,7717563,3966889,3750674
Uttar Pradesh,Bareilly,4448359,2357665,2090694
Orissa,Bargarh,1481255,749161,732094
Rajasthan,Barmer,2603751,1369022,1234729
Punjab,Barnala,595527,317522,278005
Assam,Barpeta,1693622,867004,826618
