State,0 to 1 Years_Civil,0 to 1 Years_Criminal,0 to 1 Years_Total,1 to 3 Years_Civil,1 to 3 Years_Criminal,1 to 3 Years_Total,3 to 5 Years_Civil,3 to 5 Years_Criminal,3 to 5 Years_Total,5 to 10 Years_Civil,5 to 10 Years_Criminal,5 to 10 Years_Total,10 to 20 Years_Civil,10 to 20 Years_Criminal,10 to 20 Years_Total,20 to 30 Years_Civil,20 to 30 Years_Criminal,20 to 30 Years_Total,Above 30 Years_Civil,Above 30 Years_Criminal,Above 30 Years_Total,Total_Civil,Total_Criminal,Total_Total,Original_Civil,Original_Criminal,Original_Total,Appeal_Civil,Appeal_Criminal,Appeal_Total,Application_Civil,Application_Criminal,Application_Total,Execution_Civil,Execution_Criminal,Execution_Total,Appearance/Service Related_Civil,Appearance/Service Related_Criminal,Appearance/Service Related_Total,Compliance/Steps/stay_Civil,Compliance/Steps/stay_Criminal,Compliance/Steps/stay_Total,Evidence/Argument/Judgement_Civil,Evidence/Argument/Judgement_Criminal,Evidence/Argument/Judgement_Total,Pleadings/Issues/Charge_Civil,Pleadings/Issues/Charge_Criminal,Pleadings/Issues/Charge_Total,Cases Instituted in Last Month_Civil,Cases Instituted in Last Month_Criminal,Cases Instituted in Last Month_Total,Cases Disposed in Last Month_Civil,Cases Disposed in Last Month_Criminal,Cases Disposed in Last Month_Total,Filed Cases By Senior Citizen_Civil,Filed Cases By Senior Citizen_Criminal,Filed Cases By Senior Citizen_Total,Filed Cases By Woman_Civil,Filed Cases By Woman_Criminal,Filed Cases By Woman_Total,Delay Reason_Civil,Delay Reason_Criminal,Delay Reason_Total
Andaman and Nicobar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,91092,87822,178914,152999,140216,293215,66307,49533,115840,40084,15743,55827,5335,1074,6409,204,130,334,22,30,52,356043,294548,650591,260323,270421,530744,23946,12362,36308,1183,11162,12345,70525,0,70525,94167,159585,253752,70216,24326,94542,124735,99828,224563,56397,5313,61710,9745,13589,23334,4588,8766,13354,59020,8568,67588,73509,19132,92641,9302,3907,13209
Assam,21397,78961,100358,32461,124930,157391,13890,45411,59301,9308,33912,43220,1214,3254,4468,111,185,296,23,9,32,78404,286662,365066,58254,262047,320301,2655,3829,6484,9374,20412,29786,7233,0,7233,21141,138801,159942,12166,24782,36948,37946,103628,141574,6404,5512,11916,3650,10658,14308,4757,5455,10212,9476,3094,12570,18579,27141,45720,3762,19475,23237
Bihar,54067,387286,441353,133495,775366,908861,80650,493698,574348,103546,649654,753200,47454,392084,439538,12812,56251,69063,4674,6969,11643,436698,2761308,3198006,354061,2617514,2971575,23288,25449,48737,30793,32215,63008,25607,3,25610,142504,1009652,1152156,70389,249022,319411,172800,837372,1010172,17093,546366,563459,7739,49850,57589,2530,31573,34103,78607,122346,200953,84282,273159,357441,55984,223274,279258
Chandigarh,6122,13363,19485,11093,20648,31741,3411,3292,6703,830,783,1613,54,57,111,4,5,9,0,0,0,21514,38148,59662,14836,32237,47073,1784,1812,3596,867,4099,4966,4027,0,4027,10072,23051,33123,2014,609,2623,9056,13546,22602,258,863,1121,811,2085,2896,378,538,916,3255,1118,4373,3951,2752,6703,7061,9058,16119
Chhattisgarh,15159,78670,93829,29781,123358,153139,12075,51791,63866,5239,20695,25934,497,593,1090,102,55,157,22,4,26,62875,275166,338041,45249,253972,299221,4197,6067,10264,21,15084,15105,13404,0,13404,22639,66222,88861,6081,8716,14797,24696,128312,153008,7803,69577,77380,4061,18413,22474,1332,11115,12447,9964,3490,13454,13181,13648,26829,24019,98286,122305
Delhi,62943,182388,245331,92505,364990,457495,41209,143217,184426,23167,64436,87603,2395,6840,9235,204,224,428,34,7,41,222457,762102,984559,178769,729344,908113,4891,7654,12545,2107,13826,15933,36467,9795,46262,15370,498955,514325,63069,35763,98832,135207,192103,327310,8287,34480,42767,11307,31944,43251,6394,11949,18343,22761,12959,35720,26185,41820,68005,64663,195682,260345
Diu and Daman,365,472,837,446,601,1047,314,225,539,219,119,338,34,47,81,0,10,10,0,0,0,1378,1474,2852,384,255,639,11,30,41,1,51,52,15,3,18,111,174,285,347,301,648,647,594,1241,42,100,142,40,125,165,29,85,114,297,58,355,171,84,255,271,182,453
DNH at Silvasa,288,591,879,465,801,1266,193,267,460,506,172,678,35,64,99,0,2,2,0,0,0,1487,1897,3384,1309,1705,3014,19,23,42,44,169,213,115,0,115,232,614,846,367,400,767,838,774,1612,50,109,159,26,140,166,151,145,296,184,38,222,125,70,195,946,864,1810
Goa,4943,10285,15228,8020,15376,23396,4435,4940,9375,4620,2517,7137,1459,185,1644,554,6,560,197,1,198,24228,33310,57538,16327,29401,45728,1077,644,1721,3154,3265,6419,3672,0,3672,5598,17552,23150,8905,4839,13744,8091,9525,17616,1483,1089,2572,350,356,706,45,47,92,6336,762,7098,5016,1586,6602,7009,5424,12433
